Textura,Cor,Forma,Letra,Numero,Altura,Largura,AreaItem,AspectoItem,CorItem,AreaTextura,AreaCor,AreaForma,AreaLetra,AreaNumero,ViuTextura,ViuCor,ViuForma,ViuLetra,ViuNumero
1,1,1,1,1,29,35,1015,0.82857144,1,529,361,228,42,42,0,0,0,0,0
1,1,1,1,1,79,82,6478,0.9634146,0,3969,2601,1296,342,342,0,0,0,0,0
1,1,1,1,0,70,68,4760,0.9714286,1,2916,1936,1156,120,0,0,0,0,0,0
1,1,1,0,0,35,16,560,0.45714286,1,169,100,64,0,0,0,0,0,0,0
0,1,1,1,0,82,59,4838,0.7195122,1,0,1444,900,84,0,0,0,0,0,0
1,0,0,1,0,49,48,2352,0.97959185,1,1444,0,0,45,0,0,0,0,0,0
1,0,0,0,1,78,67,5226,0.85897434,1,2916,0,0,0,105,0,0,0,0,0
0,1,0,0,0,30,22,660,0.73333335,1,0,196,0,0,0,0,0,0,0,0
1,0,0,0,0,12,9,108,0.75,1,49,0,0,0,0,0,0,0,0,0
0,0,0,0,0,61,76,4636,0.80263156,1,0,0,0,0,0,0,0,0,0,0
